lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
82597,83646,2519,0.00013363,0.03,923240,6321702,6908908662,210704274,208061843,17400000000000.0,4.01e-06,834.0991223999999,69769055.19,5840000000000.0,7120000000.0,2253,9988,12241,5640,2203,20928
37092,15365,48284,1.65e-05,0.07,9409,51934231,569918580,741883660,1790950128,27500000000000.0,1.16e-06,2069.801063,31802493.33,489000000000.0,1310000000.0,12710,38043,50753,3064,12065,45723
51310,66327,13468,8.43e-05,0.07,286863,62532293,3403238370,893292036,691043080,45800000000000.0,5.9e-06,4077.3614850000004,270439155.2,17900000000000.0,4300000000.0,15428,39139,54567,33783,2379,60193
105169,78939,2704,2.09e-05,0.23,173346,49111665,8301935691,213451056,284376976,22400000000000.0,4.8e-06,1365.69199,107806360.0,8510000000000.0,8520000000.0,1671,23063,24734,8876,10318,7369
47667,89081,10811,0.00491597,0.01,20874712,9631434,4246224027,963054691,515327937,45900000000000.0,4.92e-05,25333.36678,2256721647.0,201000000000000.0,5210000000.0,9681,347351,357032,69247,8064,1168238
131999,47960,2813,0.00491597,0.13,31122087,17541515,6330672040,134911480,371313187,17800000000000.0,0.000639076,237297.3834,11380782509.0,546000000000000.0,6470000000.0,1307,297009,298316,156862,438,601440
87996,78232,2474,0.00015297,0.27,1053073,52257739,6884103072,193545968,217702104,17000000000000.0,4.13e-05,8991.510529000001,703423851.7,55000000000000.0,7080000000.0,2226,26646,28872,26724,16894,20235
6396,82890,4941,0.00860544,0.17,4562864,69639056,530164440,409559490,31602636,2620000000000.0,0.001462925,46232.27995,3832193685.0,318000000000000.0,940000000.0,16634,31349,47983,32162,15995,122889
74870,36072,27484,0.00082282,0.07,2222250,69401615,2700710640,991402848,2057727080,74200000000000.0,5.7600000000000004e-05,118519.7297,4275243690.0,154000000000000.0,3690000000.0,17391,136261,153652,251642,4829,385302
104040,52796,11297,1.65e-05,0.1,90689,59646665,5492895840,596436412,1175339880,62100000000000.0,1.651e-06,1940.4861420000002,102449906.3,5410000000000.0,6090000000.0,13834,40079,53913,9198,13673,34151
25995,9051,12183,8.43e-05,0.3,19833,33083781,235280745,110268333,316697085,2870000000000.0,2.5286999999999997e-05,8008.3191879999995,72483296.97,656000000000.0,346000000.0,1205,12506,13711,4889,596,12926
94340,10152,16472,0.02533638,0.1,24266025,16722661,957739680,167223744,1553968480,15800000000000.0,0.002533638,3937193.5919999997,39970389343.0,406000000000000.0,1120000000.0,1585,839718,841303,489409,332,962510
50174,13136,4728,0.00108175,0.27,713000,16771400,659085664,62107008,237222672,3120000000000.0,0.000292073,69286.21887000001,910143771.0,12000000000000.0,721000000.0,233,9687,9920,30232,141,20122
84371,56043,3237,0.00082487,0.17,3900416,30847285,4728403953,181411191,273108927,15300000000000.0,0.000140228,38297.4913,2146306305.0,120000000000000.0,4910000000.0,1746,42960,44706,58925,672,78255
48803,4118,39748,0.00047003,0.15,94477,24556103,200970754,163682264,1939821644,7990000000000.0,7.049999999999999e-05,136766.1551,563203026.7,2320000000000.0,365000000.0,1508,28241,29749,45468,588,43682
32152,41437,13492,0.00056263,0.01,749593,5590941,1332282424,559068004,433794784,18000000000000.0,5.63e-06,2440.659593,101133611.6,4190000000000.0,1890000000.0,3655,23815,27470,9099,3663,68031
102673,87802,1960,0.00015297,0.15,1379024,25825028,9014894746,172091920,201239080,17700000000000.0,2.2899999999999998e-05,4617.53131,405428484.1,35600000000000.0,9190000000.0,1707,15328,17035,22402,6407,21386
109062,5263,9675,0.00047003,0.3,269817,15277662,573993306,50919525,1055174850,5550000000000.0,0.000141009,148789.1504,783077298.7,4120000000000.0,625000000.0,210,14660,14870,55539,120,28637
111385,753,14947,0.01084252,0.17,909650,1913960,83872905,11255091,1664871595,1250000000000.0,0.001843228,3068738.606,2310760171.0,1740000000000.0,95100000.0,62,32770,32832,107097,37,92391
65896,58582,31178,0.00041097,0.01,1586481,18265074,3860319472,1826469596,2054505488,120000000000000.0,4.11e-06,8443.401204,494631329.3,29000000000000.0,5690000000.0,11603,103810,115413,43071,10288,317329
131345,20463,9563,0.00182521,0.27,4905692,52839445,2687712735,195687669,1256052235,25700000000000.0,0.0004928069999999999,618990.957,12666411952.0,259000000000000.0,2880000000.0,2313,165338,167651,265773,784,344783
141148,75771,13011,0.00160539,0.05,17169578,49293225,10694925108,985856481,1836476628,139000000000000.0,8.03e-05,147413.0607,11169635022.0,846000000000000.0,11700000000.0,16644,827216,843860,351382,4737,1647627
99651,19936,9663,0.00370564,0.23,7361879,44311901,1986642336,192641568,962927613,19200000000000.0,0.000852297,820700.5084,16361485335.0,326000000000000.0,2180000000.0,1646,186192,187838,271436,460,451656
32231,80720,577,0.00160539,0.3,4176859,13985604,2601686320,46575440,18597287,1500000000000.0,0.000481617,8956.769573,722990439.9,58400000000000.0,2650000000.0,184,3975,4159,6960,194,13110
135369,2777,4545,0.00296184,0.25,1113521,3156135,375919713,12621465,615252105,1710000000000.0,0.00074046,455569.5737,1265116706.0,3510000000000.0,389000000.0,63,14666,14729,57759,42,38667
66190,3277,16927,0.00082282,0.15,178484,8321213,216904630,55469779,1120398130,3670000000000.0,0.000123423,138282.8984,453153058.1,1490000000000.0,272000000.0,535,14209,14744,33036,125,28233
101995,21211,15495,0.00018467,0.15,399527,49303159,2163415945,328664445,1580412525,33500000000000.0,2.7699999999999996e-05,43778.21715,928579763.9,19700000000000.0,2490000000.0,11033,43004,54037,78032,1142,65043
92509,84398,3068,0.00370564,0.13,28932221,33670638,7807574582,258933064,283817612,24000000000000.0,0.00048173300000000003,136724.3664,11539263079.0,974000000000000.0,8070000000.0,1736,227271,229007,138693,13384,531111
27872,33660,4176,0.00860544,0.3,8073829,42171004,938171520,140564160,116393472,3920000000000.0,0.002581632,300485.1119,10114328867.0,340000000000000.0,1080000000.0,1683,47880,49563,71722,10792,177573
143064,27390,4220,0.00182521,0.17,7152354,19651828,3918522960,115585800,603730080,16500000000000.0,0.000310286,187328.8105,5130936119.0,141000000000000.0,4030000000.0,1077,115780,116857,117615,357,225935
83522,10329,5803,0.00013363,0.25,115287,14986207,862698738,59939187,484678166,5010000000000.0,3.34e-05,16191.885830000001,167245988.7,1730000000000.0,923000000.0,642,7778,8420,11870,309,12390
69420,40962,10465,0.00952101,0.13,27074371,55732444,2843582040,428667330,726480300,29800000000000.0,0.0012377310000000002,899187.4061,36832514530.0,1510000000000000.0,3270000000.0,2936,477717,480653,367858,1563,1484124
91534,90483,8372,0.00056263,0.005,4659902,3787658,8282270922,757523676,766322648,69300000000000.0,2.81e-06,2155.780557,195061492.2,17700000000000.0,9040000000.0,4711,93334,98045,14965,4827,255064
58665,5597,29984,0.02533638,0.15,8319487,25174495,328348005,167820448,1759011360,9850000000000.0,0.003800457,6685047.036,37416208262.0,209000000000000.0,496000000.0,1607,390087,391694,403301,639,1315589
22975,2381,40471,0.00056263,0.2,30779,19273426,54703475,96361451,929821225,2210000000000.0,0.000112526,104629.0632,249121799.4,593000000000.0,151000000.0,351,12276,12627,16051,208,18168
84614,4018,3725,0.00160539,0.3,545845,4491306,339979052,14967050,315187150,1270000000000.0,0.000481617,151799.4896,609930349.3,2450000000000.0,355000000.0,75,6613,6688,29914,47,14793
15680,14140,18518,0.01084252,0.1,2404173,26186650,221715200,261844520,290362240,4110000000000.0,0.001084252,314825.8394,4451637370.0,63000000000000.0,484000000.0,6754,52143,58897,59118,504,235629
57166,65266,21849,0.00952101,0.001,35522954,1426006,3730996156,1425996834,1249019934,81500000000000.0,9.52e-06,11891.931279999999,776138787.0,50700000000000.0,5160000000.0,12181,1227013,1239194,48914,11069,4016406
132120,96192,6405,1.65e-05,0.05,209826,30806895,12708887040,616109760,846228600,81400000000000.0,8.259999999999999e-07,698.5617093,67196047.94,6460000000000.0,13300000000.0,7749,27659,35408,6377,7910,35291
12228,10281,22617,0.00013363,0.23,16801,53483788,125716068,232525377,276560676,2840000000000.0,3.07e-05,8500.064720999999,87389165.39,899000000000.0,358000000.0,1903,19699,21602,6471,1215,6127
77181,35387,4599,0.00015297,0.13,417799,21158611,2731204047,162744813,354955419,12600000000000.0,1.99e-05,7058.6789579999995,249785472.3,8840000000000.0,2890000000.0,1426,14238,15664,16480,1254,24822
66376,69071,6541,8.43e-05,0.05,386443,22591672,4584656696,451793411,434165416,30000000000000.0,4.21e-06,1829.790146,126385435.2,8730000000000.0,5040000000.0,6237,19948,26185,10451,6069,29629
58225,64324,30532,0.00860544,0.03,32230464,58919556,3745264900,1963940368,1777725700,114000000000000.0,0.000258163,458943.3554,29521072395.0,1900000000000000.0,5710000000.0,25281,1607057,1632338,435324,9287,5270161
66341,87385,9302,1.65e-05,0.07,95713,56904020,5797208285,812855270,617103982,53900000000000.0,1.16e-06,713.187072,62321852.29,5450000000000.0,6610000000.0,14085,33930,48015,6221,13112,40835
100118,11748,9226,0.00182521,0.25,2146861,27099502,1176186264,108387048,923688668,10900000000000.0,0.000456303,421481.4484,4951564056.0,58200000000000.0,1280000000.0,1219,55592,56811,152398,235,135648
25845,6614,29098,0.01084252,0.2,1853575,38494486,170938830,192454172,752037810,4970000000000.0,0.002168504,1630796.999,10786091352.0,71400000000000.0,363000000.0,1928,78693,80621,146114,735,280707
