lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
65650,18087,19824,0.00491597,0.05,5837537,17929190,1187411550,358556688,1301445600,23500000000000.0,0.000245799,319893.3763,5785911497.0,105000000000000.0,1550000000.0,6148,198283,204431,176750,1745,630627
90671,14282,15507,1.65e-05,0.2,21380,44297385,1294963222,221470974,1406035197,20100000000000.0,3.302e-06,4642.72822,66307444.45,947000000000.0,1520000000.0,9679,19951,29630,5388,1146,23697
59101,62115,32953,0.00860544,0.0005,31591547,1023447,3671058615,2046875595,1947555253,121000000000000.0,4.3e-06,8379.784937999999,520510341.4,32300000000000.0,5720000000.0,20372,1649608,1669980,33283,13289,5528475
40319,72941,2948,0.00108175,0.05,3181408,10754886,2940908179,215030068,118860412,8670000000000.0,5.41e-05,6428.862534000001,468927662.1,34200000000000.0,3160000000.0,3683,14466,18149,15681,3576,53022
88263,89988,2534,0.00078778,0.23,6257109,52448941,7942610844,228029592,223658442,20100000000000.0,0.000181189,40524.53891,3646722208.0,328000000000000.0,8170000000.0,1801,58639,60440,59596,1186,111238
92784,3657,10555,0.00491597,0.07,1668300,2702430,339311088,38599635,979335120,3580000000000.0,0.00034411800000000003,337006.7449,1232433666.0,4510000000000.0,378000000.0,135,36429,36564,69169,85,110946
16385,32857,38118,0.00031941,0.05,171967,62624728,538361945,1252443126,624563430,20500000000000.0,1.6e-05,9974.590259,327735112.1,10800000000000.0,1790000000.0,17286,28392,45678,35309,15345,64481
75825,41469,9371,0.00034241,0.13,1076679,50521505,3144386925,388605999,710556075,29500000000000.0,4.45e-05,31629.19573,1311631118.0,54400000000000.0,3530000000.0,11588,38378,49966,89502,1595,66745
18148,18364,19419,0.00056263,0.17,187516,60629063,333269872,356610516,352416012,6470000000000.0,9.559999999999999e-05,33707.56954,619005807.1,11400000000000.0,690000000.0,2642,34713,37355,40646,696,25709
13215,37014,43155,0.00370564,0.01,1812736,15973788,489140010,1597339170,570293325,21100000000000.0,3.71e-05,21133.01757,782217512.3,29000000000000.0,2090000000.0,10216,113954,124170,46605,8927,432817
5226,6183,36112,0.00296184,0.2,95718,44659764,32312358,223280496,188721312,1170000000000.0,0.000592368,111792.4661,691212818.2,4270000000000.0,256000000.0,1814,6759,8573,19148,9792,22029
78663,19299,12625,0.00082185,0.005,1247707,1218330,1518117237,243649875,993120375,19200000000000.0,4.11e-06,4080.9799009999997,78758831.11,1520000000000.0,1760000000.0,1769,34050,35819,6428,1627,104029
133800,71093,3860,0.00034241,0.15,3257110,41167728,9512243400,274418980,516468000,36700000000000.0,5.14e-05,26526.571180000003,1885853525.0,134000000000000.0,9790000000.0,9894,42697,52591,88024,814,100226
112303,45995,9913,2.09e-05,0.1,107854,45596748,5165376485,455948435,1113259639,51200000000000.0,2.088e-06,2324.4861260000002,106914739.4,4920000000000.0,5620000000.0,10469,31746,42215,19662,847,39521
149955,36504,9381,2.48e-05,0.2,135920,68490979,5473957320,342444024,1406727855,51400000000000.0,4.966e-06,6985.810528,255010027.5,9310000000000.0,5820000000.0,2745,43214,45959,20717,14898,37097
