lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,51376,43913
41029,74071,14479,0.00491597,0.03,14940441,32175416,13377,324280,337657,98583
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38578,38387
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,11112,4762
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899
70411,11972,24600,0.00013363,0.13,112654,38290496,8538,33516,42054,39323
137034,91065,2431,2.09E-05,0.27,260563,59785667,1865,29664,31529,13050
90185,32471,5210,0.00047003,0.01,1376457,1691889,1377,17102,18479,5592
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,526737,303187
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,41456,38712
124839,80742,12194,4.64E-06,0.05,46770,49230041,13468,38662,52130,3095
77031,584,19909,0.00491597,0.3,221416,3492264,97,17807,17904,67919
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223
60528,5350,3159,0.00182521,0.23,591139,3888820,75,4707,4782,18552
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,843860,351382
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,271273,262452
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950
70750,40157,28409,8.43E-05,0.03,239480,34225737,11672,50324,61996,16552
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,33279,26522
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863
19306,38528,22318,0.00041097,0.05,305707,42994698,11792,21194,32986,30542
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013
110118,17517,11225,8.43E-05,0.25,162597,49161767,2319,30558,32877,40129
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,49801,92847
