lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
49255,32636,13889,0.00491597,0.03,7902553,13599335,1607486180,453281404,684102695,22326375554020,0.0001474791,100890.8497661745,3292673772.968871,178259,93289,577927
8481,44708,6048,0.00078778,0.23,298728,62197325,379168548,270393984,51293088,2293211378304,0.0001811894,9293.7638388672,415505593.7080748,5911,8077,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,885345977,193561929,279780633,6924290886117,7.990510000000001e-05,22355.899457928303,553286155.6842676,16704,33173,21563
66341,87385,9302,1.651e-05,0.07,95713,56904020,5797208285,812855270,617103982,53925631467070,1.1557e-06,713.1870719974,62321852.2864928,33930,6221,40835
66173,57686,8764,0.00952101,0.13,36344782,65725864,3817255678,505560104,579940172,33454428761992,0.0012377313,717810.1030117837,41407593602.337746,494480,375822,1661037
7297,11850,43501,0.00160539,0.03,138831,15465088,86469450,515486850,317426797,3761507544450,4.81617e-05,15287.814169074898,181160597.90353754,15784,17138,23733
109258,67641,5832,0.00013363,0.13,987586,51286831,7390320378,394482312,637192656,43100348444496,1.7371900000000002e-05,11069.247100766403,748734943.14294,36256,59694,49397
17199,84760,1995,0.00296184,0.03,4317875,5074350,1457787240,169096200,34312005,2908285543800,8.885519999999999e-05,3048.800066676,258416293.65145773,12606,5466,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,69100566,99993282,125534092,931337428548,0.00032789600000000005,41162.126630432,305381817.471175,3179,17268,9750
43659,47194,33980,2.088e-05,0.03,43023,48110586,2060442846,1603652120,1483532820,70013847907080,6.263999999999999e-07,929.2849584479999,43856674.328994915,45903,4012,58407
14569,13356,16170,0.02533638,0.23,4930456,49677774,194583564,215966520,235580730,3146416229880,0.0058273674,1372815.4660702022,18335323364.83362,121426,131364,402422
34130,54768,3405,0.00370564,0.005,6926936,932440,1869231840,186485040,116212650,6364734415200,1.85282e-05,2153.21122173,117927072.19170864,34513,6438,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,6908908662,210704274,208061843,17403540919578,4.0089e-06,834.0991224027,69769055.19249624,9988,5640,20928
69420,40962,10465,0.00952101,0.13,27074371,55732444,2843582040,428667330,726480300,29758086048600,0.0012377313,899187.40614339,36832514530.44554,477717,367858,1484124
33895,53317,26714,0.00370564,0.01,6696942,14243336,1807179715,1424310338,905471030,48276998906510,3.70564e-05,33553.496676092,1788971782.2791972,280837,92404,940945
46756,53769,7584,0.00160539,0.01,4036030,4078138,2514023364,407784096,354597504,19066353192576,1.60539e-05,5692.6728694656,306089327.5182958,50471,20217,169611
98966,87945,14688,0.00370564,0.0005,32252780,645897,8703564870,1291736160,1453612608,127837960810560,1.85282e-06,2693.2825123545604,236860730.54902178,1176893,20294,2889740
124226,83003,2310,0.00370564,0.23,38209922,44118447,10311130678,191736930,286962060,23818711866180,0.0008522972000000001,244576.96024423203,20300621431.15199,312134,224158,627928
16232,10652,12684,0.00182521,0.05,315616,6756092,172903264,135109968,205886688,2193105000576,9.126050000000001e-05,18789.322090224003,200143858.90506607,9375,13849,26545
116115,98118,11052,0.00031941,0.05,3639059,54223806,11392971570,1084400136,1283302980,125915121791640,1.5970500000000002e-05,20494.990242090003,2010927452.573387,131108,150395,335026
66177,6349,17332,0.00952101,0.1,4000474,11004602,420157773,110040868,1146979764,7282174521636,0.000952101,1092040.580284164,6933365644.224158,117138,158641,373265
64050,5188,31464,0.00013363,0.13,44408,21222444,332291400,163235232,2015269200,10455216609600,1.7371900000000002e-05,35009.05501548,181626977.42031026,25896,17247,35953
110661,20042,1144,0.00031941,0.23,708415,5275053,2217867762,22928048,126596184,2537240719728,7.346430000000001e-05,9300.300040231201,186396613.40631375,3864,12804,6871
106078,18553,6299,0.00018467,0.17,363448,19870443,1968065134,116865347,668185322,12396842279066,3.1393900000000004e-05,20976.943180335802,389185226.82477015,16240,30888,29729
95437,99103,2109,0.00296184,0.25,28013575,52252550,9458093011,209008227,201276633,19947118160199,0.00074046,149037.29567118,14770043112.900951,156278,155610,349853
84667,17519,6750,0.00160539,0.2,2381336,23654003,1483281173,118253250,571502250,10012147917750,0.00032107800000000003,183496.7994255,3214680429.1353345,39785,97186,96990
31526,11513,45258,0.00182521,0.07,662517,36475921,362958838,521055354,1426803708,16426791090204,0.00012776470000000001,182295.14771150763,2098764035.6025872,60132,123332,182304
78312,23565,7906,0.00015297,0.3,282301,55892512,1845422280,186304890,619134672,14589908545680,4.5891e-05,28412.709232752,669545493.0698007,27884,49600,20260
34422,86478,23247,0.00163948,0.0005,4880418,1005186,2976745716,2010354066,800208234,69200407659852,8.1974e-07,655.96269773916,56726342.17508708,179926,3565,620209
76873,97636,16492,0.00370564,0.03,27813025,48309209,7505572228,1610212912,1267789516,123781897184176,0.00011116919999999999,140939.14626210718,13760734484.447098,758392,275059,2508700
32360,2665,45187,0.00031941,0.07,27555,8432644,86239400,120423355,1462251320,3896899767800,2.2358700000000003e-05,32694.038588484003,87129612.83830987,15278,8023,23679
147394,27458,5779,0.00041097,0.2,1663311,31738071,4047144452,158679782,851789926,23388447788108,8.2194e-05,70012.021177644,1922390077.495749,37904,111812,75733
56692,88821,2138,0.00860544,0.2,43333045,37984798,5035440132,189899298,121207496,10765771002216,0.0017210880000000002,208608.76687564803,18528839282.661934,141707,137663,478550
70273,19995,29949,0.00056263,0.005,790577,2994283,1405108635,598830255,2104606077,42081598509615,2.8131500000000003e-06,5920.572585512551,118381848.84732346,52735,9217,155576
17525,66539,8771,0.00031941,0.03,372484,17509862,1166095975,583613569,153711775,10227827796725,9.5823e-06,1472.9123415825,98006114.29655796,12275,6741,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,17188315,330002020,19546348,332972038180,0.0005035128,9841.8364112544,167655683.2657187,5723,3722,8607
6600,8834,39569,0.00015297,0.13,8920,45445522,58304400,349552546,261155400,2307046803600,1.98861e-05,5193.36239994,45878163.44106996,3843,3418,24097
92509,84398,3068,0.00370564,0.13,28932221,33670638,7807574582,258933064,283817612,23953638817576,0.00048173320000000004,136724.36644511842,11539263079.235104,227271,138693,531111
139925,7761,5943,0.00182521,0.2,1982194,9226373,1085957925,46123623,831574275,6453847948275,0.00036504200000000005,303559.53649455,2355925562.734203,32392,98226,85717
99742,15952,1883,0.01084252,0.2,17252080,6010094,1591084384,30037616,187814186,2996011895072,0.002168504,407275.81359774404,6496863778.511212,77389,63084,195418
8213,29864,12338,0.00860544,0.1,2110867,36848979,245273032,368462032,101331994,3026178668816,0.0008605440000000001,87200.639444736,2604159896.3775964,31597,26626,137046
148295,70586,10233,8.429e-05,0.07,882313,50562229,10467550870,722306538,1517502735,107114448052710,5.9003e-06,8953.7213873205,632007377.8454047,53066,81853,106411
79098,33153,27005,0.00296184,0.03,7767106,26859588,2622335994,895296765,2136041490,70816183517970,8.885519999999999e-05,189798.39380224797,6292386149.725927,375972,258493,1155489
29129,30290,17065,0.00182521,0.07,1610458,36185243,882317410,516898850,497086385,15056746601650,0.00012776470000000001,63510.09285360951,1923720712.535832,52251,70980,151100
88999,13706,10833,0.01084252,0.0005,13226192,74244,1219820294,148477098,964126167,13214313244902,5.42126e-06,5226.77862411042,71638227.82205743,312668,3125,822523
145855,29838,5432,0.00034241,0.27,1490188,43763326,4352021490,162080016,792284360,23640180733680,9.24507e-05,73247.24368105202,2185551256.9552298,37058,111561,65790
96800,66343,67,0.00491597,0.25,31570600,1117164,6422002400,4444981,6485600,430274160800,0.0012289925,7970.753758000001,528803716.5669941,5669,5305,13463
43568,87023,12162,0.00370564,0.005,14049825,5292307,3791418064,1058373726,529874016,46111226494368,1.85282e-05,9817.6117432512,854358026.7329493,265570,52623,898034
141319,77728,4482,0.00296184,0.05,32534593,17419100,10984443232,348376896,633391758,49232274565824,0.000148092,93800.252225736,7290906005.002008,517638,154983,1035063
144418,7770,9316,0.00056263,0.3,631369,21718658,1122127860,72385320,1345398088,10453743143760,0.000168789,227088.397875432,1764476851.4921067,28369,115501,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,2055483430,403467834,219102780,13479860333940,4.9159700000000005e-06,1077.1026933966002,66266589.00583903,96017,3650,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,356159274,152606607,9121878,704126884698,0.0018432284,16813.7045909352,1297866671.078879,10540,10112,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,3687069174,87627639,531166394,13100156775222,8.43945e-05,44827.522238433005,1105581180.966473,23376,63658,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,2287884918,83056392,689756364,11448576129672,0.00041979830000000003,289558.54902138124,4806092796.656886,73356,124723,152258
87906,15292,10524,0.00860544,0.15,11568360,24140834,1344258552,160933008,925122744,14146977001248,0.001290816,1194163.2399191041,18261144264.842937,264982,254112,696417
105169,78939,2704,2.088e-05,0.23,173346,49111665,8301935691,213451056,284376976,22448434108464,4.8024e-06,1365.6919895424,107806359.96248752,23063,8876,7369
32496,6653,19458,0.00031941,0.27,69056,34953644,216195888,129454074,632307168,4206739588704,8.624070000000001e-05,54530.6127833376,362792166.847545,18635,28851,13626
115721,77929,1260,0.00019487,0.15,1757358,14735341,9018021809,98190540,145808460,11362707479340,2.92305e-05,4262.0541900299995,332137620.97484785,5965,18148,17815
46787,1840,40047,0.00182521,0.25,157185,18428395,86088080,73686480,1873678989,3447569339760,0.0004563025,854964.4068781725,1573134508.6558375,24374,94023,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,1816665082,166994804,1943456498,24281545486012,0.0004760505,925183.4376011491,11559241869.388756,724115,296666,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,634443433,55654557,263634189,3051038469297,0.001290816,340303.229308224,3938329272.784076,42089,49837,137065
28436,5810,37630,0.00952101,0.13,1573159,28424557,165213160,218630300,1070046680,6216971210800,0.0012377313,1324430.2682970841,7694939858.806058,80272,154166,310728
94130,40069,19510,0.00018467,0.07,696528,54724088,3771694970,781746190,1836476300,73585768864700,1.2926900000000002e-05,23739.945482470004,951235875.5370907,59630,80462,130979
44963,93459,20068,0.01084252,0.005,45563041,9377768,4202197017,1875535212,902317484,84329689737156,5.4212599999999997e-05,48916.9768330984,4571731737.844543,1373875,127754,4720649
99321,47329,4093,0.00163948,0.17,7707002,32939353,4700763609,193717597,406520853,19240225451637,0.0002787116,113302.07737299481,5362474019.986471,92154,107355,201379
22290,3628,41455,0.00056263,0.27,45499,40608411,80868120,150398740,924031950,3352387914600,0.00015191010000000003,140369.78592769502,509261583.34567755,23056,44552,19101
