lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
141685,11046,7196,0.00041097,0.15,643231,11925181,866,19300,20166,53239
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839
23575,8948,27730,0.00370564,0.27,781716,66996953,2168,60451,62619,107823
114156,7995,9008,0.00013363,0.3,121974,21609624,779,16041,16820,26740
98260,16174,8581,0.00491597,0.13,7813044,18043845,1286,172995,174281,165157
15559,17880,12488,0.00015297,0.17,42558,37963300,8604,4286,12890,6444
106799,17837,15074,0.00952101,0.2,18137811,53778313,2055,720904,722959,555376
77232,67089,4255,0.00860544,0.13,44588813,37115150,1804,341898,343702,233931
48803,4118,39748,0.00047003,0.15,94477,24556103,1508,28241,29749,45468
63548,45979,19191,0.00056263,0.05,1643964,44120881,12343,72080,84423,117006
83826,30839,11021,0.02533638,0.17,65497623,57781073,2672,1372056,1374728,1055493
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,285607,162839
119561,1522,6054,0.01084252,0.17,1973556,1566962,70,27729,27799,71045
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,86995,11701
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,10838,3822
39260,76247,5278,0.00056263,0.15,1684267,60366717,13619,16575,30194,29867
14048,771,13751,0.00860544,0.15,93233,1590754,51,3281,3332,10364
23231,3666,17528,0.01084252,0.15,923543,9640168,267,23470,23737,51971
124491,2989,8506,0.00019487,0.25,72515,6356963,105,10439,10544,12515
73264,36226,14057,0.00860544,0.05,22839600,25462876,11191,536907,548098,254696
92892,29227,5911,0.00015297,0.23,415318,39742536,1718,22950,24668,49584
12971,33483,15175,0.00182521,0.13,792721,66058274,15136,19275,34411,27075
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,47631,29292
35557,50527,33258,0.02533638,0.005,45519939,8402353,16185,2244357,2260542,174933
73339,16870,16588,0.00182521,0.23,2258237,64363645,2189,84968,87157,226839
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,14317,3486
12390,12503,17078,0.00056263,0.15,87166,32030299,1504,17567,19071,12458
105587,27508,4739,0.00078778,0.07,2288163,9126957,1237,28367,29604,46523
81464,7120,25173,0.00491597,0.05,2851458,8961824,1563,128913,130476,175920
25669,4966,8747,0.00082185,0.2,104775,8688468,371,4782,5153,12479
22717,23456,9074,0.00078778,0.27,419776,57471245,1782,30435,32217,34994
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,80618,98574
80022,60627,9037,0.00019487,0.1,945424,54794058,12765,43397,56162,76519
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,292086,20373
114059,34686,11559,0.00015297,0.05,605203,20048095,5550,33545,39095,28881
72822,57831,14154,0.00031941,0.07,1345182,57301813,24259,62342,86601,104483
84935,12015,13964,1.65E-05,0.23,16848,38591061,1662,22964,24626,4176
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,9938,14390
66726,22607,1330,0.00163948,0.13,2473191,3910963,135,7157,7292,13739
44946,23862,10346,0.00013363,0.05,143321,12345012,3432,12664,16096,5487
129648,25185,11868,0.00082185,0.17,2683583,50813846,12027,114832,126859,232249
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,4308,9590
149955,36504,9381,2.48E-05,0.2,135920,68490979,2745,43214,45959,20717
148354,99024,4604,0.00370564,0.13,54438984,59269117,3096,943274,946370,466170
66980,36237,9185,0.00082487,0.13,2002126,43272073,10028,48177,58205,90976
