lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm_total,bz_smsm
146738,11724,14562,0.00031941,0.07,549516,11951611,1638,34663,36301,44409
95572,77731,4998,0.00018467,0.17,1371911,66053099,14929,17312,32241,63712
111497,45818,5490,0.00047003,0.25,2401219,62887215,1970,56261,58231,105438
74131,8372,8229,0.00031941,0.0005,198257,34451,100,8118,8218,59
99597,63890,1999,2.48e-05,0.25,158002,31938583,1413,4375,5788,6147
64571,43412,10899,0.00082282,0.07,2306571,33121768,8651,55448,64099,99656
120873,325,6323,4.34e-06,0.05,170,103037,21,4555,4576,15
64697,15313,4392,0.00952101,0.07,9432835,4708780,220,68694,68914,50037
2025,41300,12075,0.00013363,0.03,11177,14961777,4979,2988,7967,423
545,37003,33487,0.00041097,0.001,8303,1239169,5880,6264,12144,48
146719,98366,3884,0.00041097,0.001,5931197,382096,2500,85737,88237,1615
50305,3371,21324,0.00160539,0.005,272259,359449,349,16314,16663,1392
20072,30276,10461,0.00041097,0.001,249760,316737,1921,9130,11051,181
135843,22066,339,4.64e-06,0.03,13908,224701,34,294,328,30
146193,58399,3644,0.00031941,0.2,2727011,42568695,9941,34693,44634,86919
35767,12042,27119,0.00082282,0.005,354414,1632908,1951,22193,24144,3050
55458,1869,21986,0.00056263,0.13,58326,5342957,129,11847,11976,12262
43856,14221,21646,0.00163948,0.13,1022562,40019915,9395,50274,59669,127608
59135,41223,4230,0.00047003,0.03,1145819,5231647,2090,11962,14052,10041
30394,9998,9099,0.00019487,0.15,59219,13646934,832,6226,7058,5371
21338,19432,4799,4.64e-06,0.2,1924,18653162,899,950,1849,276
43074,47357,10942,0.00082185,0.001,1676488,518182,2772,31500,34272,1119
123987,18238,4328,4.64e-06,0.0005,10492,39470,352,4718,5070,12
102040,18882,14345,2.48e-05,0.005,47842,1354418,1787,16927,18714,237
110042,37929,4045,0.00015297,0.05,638476,7671463,1293,12394,13687,12889
137609,32109,6567,0.00078778,0.3,3480824,63264718,1820,92450,94270,169704
46402,25898,38804,8.43e-05,0.001,101298,1005002,4878,34471,39349,250
93090,8666,2079,0.00860544,0.13,6942691,2342811,191,34541,34732,34658
31828,18914,31136,0.00182521,0.05,1098802,29446276,8487,62462,70949,102119
64201,35581,5780,0.00860544,0.23,19658246,47306600,1626,201385,203011,235667
39847,1754,6556,0.00056263,0.27,39329,3105516,149,2965,3114,4171
79810,14962,7321,2.09e-05,0.13,24934,14240738,381,9006,9387,1885
37405,13971,26057,0.00018467,0.17,96513,61891574,13651,25620,39271,38840
17055,7087,4870,0.00160539,0.23,194073,7939860,194,1731,1925,10252
34262,48721,6984,0.00182521,0.2,3046879,68058957,2673,57424,60097,52210
29251,47333,27548,0.00013363,0.05,185024,65199687,32165,55243,87408,32569
70496,45936,19271,2.09e-05,0.0005,67616,442639,4335,23676,28011,73
73550,28084,11244,0.00018467,0.1,381466,31581110,7438,25753,33191,41387
17718,58381,25879,0.00015297,0.0005,158238,755437,7032,29141,36173,142
51601,6661,39216,0.00296184,0.2,1018108,52247827,2064,86570,88634,278111
91939,4322,8525,0.00082185,0.2,326594,7369718,462,11403,11865,36626
44995,103,1103,0.00952101,0.15,44508,17191,11,344,355,281
132313,44446,503,0.00078778,0.2,4632834,4478628,88,7429,7517,11844
31818,57560,26117,0.00860544,0.0005,15760932,751672,9189,624933,634122,14099
63416,41986,25103,0.00952101,0.0005,25351182,527001,8902,1037187,1046089,20818
5483,26978,6100,0.00047003,0.2,69535,32918148,1624,2765,4389,3700
141142,4981,4897,0.00860544,0.15,6050752,3659977,90,96591,96681,115751
123748,43728,3393,0.00082185,0.001,4447335,148372,1534,48448,49982,952
71615,65776,1461,0.00082185,0.17,3871417,16344669,299,10355,10654,19095
14988,11170,14155,0.00015297,0.3,25611,47434080,2005,25276,27281,17816
89297,73623,186,0.00108175,0.03,7111911,410939,45,3199,3244,1822
451,52642,5974,0.00860544,0.17,204607,53463781,2464,6056,8520,2444
133601,90544,7271,2.09e-05,0.0005,252582,329195,3386,20737,24123,84
82684,46229,3825,0.00082185,0.2,3141456,35370324,1666,37829,39495,60664
84927,45109,23706,0.00082282,0.0005,3152241,534687,5454,151293,156747,2170
68995,27841,15139,0.00013363,0.13,256697,54796778,12396,37279,49675,45946
11790,29212,23047,1.65e-05,0.01,5686,6732822,4288,8199,12487,156
52238,29982,2113,0.00370564,0.25,5803881,15838908,234,20084,20318,34580
74642,8352,11984,0.00163948,0.1,1022099,10009475,369,26190,26559,72082
31550,50724,12976,0.00163948,0.0005,2623805,329110,3525,52452,55977,959
9638,22334,9342,0.00031941,0.23,68756,47988813,1562,4126,5688,7860
138636,6363,4458,4.64e-06,0.27,4093,7660356,119,5313,5432,408
24829,62519,4827,2.48e-05,0.0005,38543,150920,1834,3541,5375,23
16754,54691,9359,0.00860544,0.1,7885273,51189325,13694,97370,111064,66045
1002,1738,21978,0.00108175,0.001,1885,38210,59,528,587,14
115408,19617,3765,0.00082185,0.15,1860650,11079231,228,19162,19390,49352
35285,10091,28400,0.00082282,0.13,292990,37258152,8390,26100,34490,78519
59764,39763,35497,4.34e-06,0.01,10313,14115120,8560,31548,40108,399
27813,19015,22846,0.00056263,0.001,297559,434425,2435,17777,20212,397
99246,27971,9432,0.00015297,0.0005,424663,131925,1648,16485,18133,128
84485,72006,12272,0.00952101,0.05,57921476,44185276,22871,1431449,1454320,422830
40897,18462,1695,2.48e-05,0.25,18748,7825973,125,888,1013,648
92956,66994,5871,1.65e-05,0.005,102817,1966844,2246,11316,13562,264
943,4905,31098,0.01084252,0.3,50200,45762087,1735,3589,5324,5465
58755,51857,27364,0.00296184,0.01,9024387,14190374,10891,407323,418214,135318
80374,9713,7802,0.00031941,0.25,249382,18947981,756,16448,17204,33901
21532,81699,7685,0.00491597,0.1,8648262,62792595,16616,92836,109452,65256
15805,47058,2471,8.43e-05,0.15,62692,17444039,1147,1708,2855,2065
36686,51323,14010,0.00015297,0.07,288023,50332695,12272,36212,48484,20788
67517,991,7510,0.00182521,0.13,122198,968223,41,5625,5666,7150
125119,81105,4355,0.00108175,0.15,10977483,52990170,14274,147146,161420,144547
66631,18827,15564,0.00296184,0.05,3715732,14652201,4598,99072,103670,121037
33061,64314,10818,8.43e-05,0.07,179229,48706445,11898,36951,48849,10901
89902,92636,2859,0.00078778,0.13,6560829,34430489,9375,43137,52512,67619
7596,7786,34942,0.00034241,0.001,20253,272073,1681,5703,7384,58
11214,36208,25882,2.48e-05,0.01,10082,9371688,5887,7562,13449,269
69971,5443,21511,4.64e-06,0.25,1767,29276436,1159,19679,20838,1168
40244,26014,41080,0.00082185,0.005,860421,5343465,6013,66380,72393,12573
123259,6608,17338,0.00019487,0.15,158741,17188163,1124,26968,28092,36501
54352,46800,8576,0.00108175,0.07,2751701,28097223,7755,49578,57333,66444
53572,23304,2754,4.34e-06,0.15,5418,9628404,265,1430,1695,259
59351,5797,6996,0.00491597,0.27,1691498,10951569,236,20385,20621,62814
79309,26918,12945,1.65e-05,0.2,35246,69691456,15235,23837,39072,8331
48165,6140,29156,0.00019487,0.25,57637,44760600,2149,31690,33839,36156
146452,49337,7831,0.00034241,0.13,2474141,50231793,11986,76759,88745,161303
81584,51961,4373,0.00160539,0.23,6805636,52268360,1759,83544,85303,111110
12987,7224,3977,0.00034241,0.05,32126,1436675,87,857,944,569
147207,7209,4744,0.00078778,0.15,836046,5130893,127,13468,13595,40033
147087,90378,1220,0.00370564,0.2,49261310,22063897,1000,215346,216346,141147
77974,62889,4033,4.34e-06,0.03,21282,7609767,2549,7364,9913,285
60794,60167,3135,0.00860544,0.05,31477547,9432298,1557,152526,154083,54122
36925,23140,29757,0.00034241,0.005,292572,3442931,3859,28349,32208,2875
20687,66742,4914,0.00031941,0.001,441029,327987,2002,7789,9791,188
96851,13715,11653,0.00034241,0.27,454833,43154182,1629,36497,38126,112250
80021,15835,22821,0.00296184,0.15,3753302,54210143,13185,175063,188248,319068
17787,94167,1844,0.00041097,0.15,688392,26051961,1742,3925,5667,4289
91816,29693,23243,0.00082487,0.0005,2248897,345085,3517,110711,114228,1244
117166,9557,9860,0.00296184,0.001,3316667,94243,1183,84615,85798,1453
52463,45276,7513,0.00078778,0.005,1871258,1701001,2298,24996,27294,4725
87249,47593,1804,0.00056263,0.07,2336329,6013434,295,11750,12045,19636
105275,9092,1404,0.00047003,0.17,449946,2171175,70,2824,2894,7526
66666,3541,31898,0.00160539,0.17,379008,19203650,1064,39661,40725,130087
4970,30079,600,0.00370564,0.3,554006,5420885,86,650,736,1085
123001,89746,6188,2.48e-05,0.001,274096,555378,2915,17424,20339,142
78093,55075,8058,0.01084252,0.15,46634158,66574409,3762,661564,665326,526613
85695,25582,2145,0.00952101,0.23,20872664,12626709,551,94880,95431,100343
42759,12801,2761,0.02533638,0.13,13869434,4595043,157,55005,55162,43631
41243,11274,98,4.34e-06,0.2,2018,221312,22,85,107,17
