lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm_total,bz_smsm
102040,18882,14345,2.48e-05,0.005,47842,1354418,1787,16927,18714,237
133601,90544,7271,2.09e-05,0.0005,252582,329195,3386,20737,24123,84
146350,93024,4117,0.00034241,0.01,4661616,3830294,3582,72111,75693,16947
14406,46480,42937,0.00034241,0.005,229291,9978735,10857,48186,59043,3399
86017,23285,11009,2.48e-05,0.17,49732,43579671,9705,19376,29081,7733
14206,13733,34633,0.00019487,0.13,38018,61830693,14144,9581,23725,11790
49885,5508,8049,0.00013363,0.23,36719,10197743,160,5751,5911,4605
51631,1681,15292,0.00082487,0.3,71597,7712439,171,9754,9925,19776
44389,9806,10105,0.00013363,0.1,58169,9910390,960,8880,9840,4324
118751,24731,6160,2.48e-05,0.15,72924,22852551,1374,15940,17314,5581
10590,1320,6199,0.00160539,0.005,22445,40923,24,547,571,56
52367,10176,33949,0.00015297,0.13,81521,44914624,10027,36918,46945,34004
125786,17872,382,8.43e-05,0.2,189494,1367867,41,495,536,1033
59185,11605,6891,1.65e-05,0.3,11340,23993000,889,12819,13708,1796
43780,33719,20168,4.34e-06,0.03,6406,20402401,6812,17674,24486,447
31550,50724,12976,0.00163948,0.0005,2623805,329110,3525,52452,55977,959
3776,61561,9078,4.34e-06,0.1,1008,55887636,13176,2097,15273,375
36686,51323,14010,0.00015297,0.07,288023,50332695,12272,36212,48484,20788
74178,84288,11408,0.00860544,0.05,53804921,48082497,23402,1048610,1072012,355398
105961,45060,10913,0.00082185,0.01,3924037,4917550,3665,118213,121878,35951
44251,28370,11979,0.00108175,0.15,1358055,50976914,2399,45763,48162,77880
9638,22334,9342,0.00031941,0.23,68756,47988813,1562,4126,5688,7860
95173,10194,4421,0.00082185,0.3,797410,13521436,304,11121,11425,46741
139572,67225,10326,4.34e-06,0.001,40721,694210,3617,19810,23427,68
61642,12832,11924,0.00160539,0.03,1269878,4590409,1983,28746,30729,32331
65851,32180,1894,0.00047003,0.25,996058,15239910,568,3539,4107,18438
26670,9369,20507,0.00013363,0.3,33394,57646768,2342,26114,28456,12992
56025,8581,24253,0.00031941,0.25,153567,52032484,1687,34993,36680,70550
21436,5502,38938,0.00108175,0.05,127600,10713242,3094,16885,19979,17722
11790,29212,23047,1.65e-05,0.01,5686,6732822,4288,8199,12487,156
133215,11011,13911,0.02533638,0.2,37165044,30635711,1611,1245650,1247261,1086264
113202,85712,3811,0.00108175,0.13,10496058,42466021,11914,114484,126398,108084
1014,22970,7673,0.00370564,0.15,86367,26439607,1643,3369,5012,1625
15199,16606,6119,0.00108175,0.01,273032,1016188,998,4531,5529,995
40406,2013,5631,0.00047003,0.05,38238,566912,53,2693,2746,684
40897,18462,1695,2.48e-05,0.25,18748,7825973,125,888,1013,648
68195,39461,13873,0.00034241,0.05,921454,27374065,7921,39076,46997,50834
137299,99547,1550,0.00034241,0.1,4680017,15431392,1404,31886,33290,34908
12689,1955,47651,2.48e-05,0.23,616,21437334,1071,11535,12606,570
39005,1543,32615,0.00491597,0.27,295887,13588848,317,23281,23598,109396
1993,39050,10105,1.65e-05,0.17,1285,67084446,1326,1554,2880,553
113595,7112,11490,0.00019487,0.23,157455,18798685,334,16931,17265,31999
62426,61428,2065,0.00031941,0.07,1224865,8882332,420,5973,6393,13819
48686,5235,19604,0.00370564,0.23,944632,23609110,1081,39671,40752,130118
125208,34477,3717,0.00013363,0.13,576858,16660465,1192,14105,15297,24811
146799,44538,14185,0.00031941,0.03,2088364,18953505,6901,93979,100880,78980
18321,43848,11683,2.48e-05,0.005,19947,2561450,2814,6815,9629,135
47457,20690,17510,0.00108175,0.01,1062201,3623009,2481,32763,35244,12611
43856,14221,21646,0.00163948,0.13,1022562,40019915,9395,50274,59669,127608
101565,35722,12705,0.00108175,0.1,3924777,45387190,11287,137148,148435,199607
146193,58399,3644,0.00031941,0.2,2727011,42568695,9941,34693,44634,86919
103197,28816,14217,0.01084252,0.15,32242926,61453101,20326,1144961,1165287,760550
15388,5249,16725,0.00019487,0.005,15743,439045,423,3234,3657,93
3002,27490,13574,1.65e-05,0.0005,1362,186584,2129,1552,3681,16
53375,19241,29067,4.34e-06,0.07,4457,39151918,18121,29337,47458,946
72151,27530,16389,4.64e-06,0.13,9216,58657539,13492,34919,48411,2173
2115,8578,23285,0.00296184,0.25,53755,49939462,2116,4004,6120,6693
69561,9712,17758,0.00018467,0.2,124769,34497130,1784,25347,27131,36100
79395,8443,600,0.00182521,0.13,1223616,658898,35,1490,1525,4607
52463,45276,7513,0.00078778,0.005,1871258,1701001,2298,24996,27294,4725
47493,7813,2483,0.00108175,0.03,401443,582094,169,2855,3024,1925
66631,18827,15564,0.00296184,0.05,3715732,14652201,4598,99072,103670,121037
16590,24487,9886,0.01084252,0.13,4404775,31472468,1701,56755,58456,51520
99597,63890,1999,2.48e-05,0.25,158002,31938583,1413,4375,5788,6147
143433,480,8949,0.00019487,0.05,13422,214881,81,8470,8551,375
93400,97536,15816,0.00163948,0.03,14935599,46280910,18755,610966,629721,260995
86991,26959,5701,2.09e-05,0.27,48968,41504159,1559,20263,21822,5814
92974,30050,931,0.00018467,0.25,515950,6995723,165,1667,1832,7278
107096,58135,1623,0.00952101,0.07,59278378,6606255,301,248804,249105,79856
53572,23304,2754,4.34e-06,0.15,5418,9628404,265,1430,1695,259
4347,45715,7283,0.00078778,0.15,156568,49943970,2355,6261,8616,4820
9473,27403,8460,0.00013363,0.17,34692,39414460,1708,3273,4981,3757
6925,56180,1098,2.09e-05,0.27,8124,16663658,295,353,648,269
51587,4396,36801,0.00034241,0.3,77654,48535949,1907,34389,36296,58211
44995,103,1103,0.00952101,0.15,44508,17191,11,344,355,281
96491,74097,15905,0.00952101,0.03,68073196,35356676,24007,2558185,2582192,456665
52238,29982,2113,0.00370564,0.25,5803881,15838908,234,20084,20318,34580
85302,10471,21944,0.00160539,0.2,1433969,45956855,1580,80165,81745,243431
48030,7654,6046,0.00041097,0.01,151086,462774,94,4591,4685,560
6261,48044,42519,0.00160539,0.03,482917,61285722,20835,50238,71073,27531
13759,23272,17955,4.34e-06,0.13,1389,54322273,12424,2547,14971,578
61691,80856,736,0.00082185,0.27,4099507,16081889,218,5585,5803,11679
138518,9384,11294,0.00860544,0.2,11186535,21198014,1089,421162,422251,403973
98070,41854,10560,0.00082282,0.01,3377406,4420165,3186,84207,87393,26655
143092,65008,3069,0.00015297,0.13,1422960,25936502,1879,21900,23779,39617
24791,16269,14679,0.02533638,0.05,10219307,11941414,5404,224881,230285,86767
44297,61348,17656,4.64e-06,0.005,12609,5416107,5945,15889,21834,145
