lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm_total,bz_smsm
149184,32802,10969,2.09e-05,0.1,102179,35983818,8535,31935,40470,9565
58711,11652,140,0.00078778,0.13,538947,213355,24,220,244,567
67288,85107,1419,0.00163948,0.13,9388911,15701619,1197,23563,24760,25265
102554,24985,1621,0.00491597,0.01,12596478,405131,98,53127,53225,11634
107253,2283,4766,2.48e-05,0.1,6080,1088228,49,3830,3879,204
53586,21249,39581,0.00034241,0.005,389901,4205466,4684,45704,50388,7278
34302,29462,17514,4.34e-06,0.13,4386,67083786,14978,6202,21180,1500
22106,53551,9451,0.00015297,0.1,181092,50614221,11866,10565,22431,22786
21372,59028,14837,4.64e-06,0.05,5853,43790888,12145,6790,18935,627
14531,14253,16354,8.43e-05,0.1,17457,23310347,5578,3722,9300,2222
65571,44543,6915,0.00160539,0.2,4689060,61606367,2240,77241,79481,111012
61276,28961,22176,0.00082487,0.05,1463858,32112662,9356,69619,78975,110381
85244,52424,19204,0.00013363,0.03,597179,30203481,10331,50002,60333,30586
45785,99506,3697,0.01084252,0.01,49397672,3679279,11377,276503,287880,24609
15470,75635,1133,0.00031941,0.005,373743,428835,406,1808,2214,178
15414,10338,42366,0.00182521,0.0005,290856,218999,2456,22923,25379,276
97955,48914,21194,0.00370564,0.005,17755499,5183567,8663,903099,911762,126598
6039,47622,7012,0.02533638,0.07,7286947,23377723,7551,68452,76003,31060
44995,103,1103,0.00952101,0.15,44508,17191,11,344,355,281
64911,33712,3134,0.00041097,0.07,899334,7396708,353,8136,8489,15497
64454,27654,3360,4.34e-06,0.27,7735,25089378,946,11395,12341,718
137299,99547,1550,0.00034241,0.1,4680017,15431392,1404,31886,33290,34908
401,5700,43164,0.02533638,0.1,58034,24605136,5909,5708,11617,3190
114673,21428,8165,0.00041097,0.13,1009869,22747506,1645,30441,32086,74793
99597,63890,1999,2.48e-05,0.25,158002,31938583,1413,4375,5788,6147
51519,35054,10856,4.64e-06,0.01,8379,3805764,2533,9067,11600,123
24804,47776,26284,0.00182521,0.0005,2163056,627891,5937,82094,88031,1644
120304,40305,3610,0.00047003,0.0005,2279133,72766,1203,22463,23666,269
49426,6097,15053,2.09e-05,0.07,6292,6425280,306,7838,8144,509
43656,5941,22673,0.00082487,0.25,213963,33678855,1410,25521,26931,80450
71278,33442,455,0.00019487,0.07,464518,1066898,58,772,830,1064
14351,18745,28224,0.00041097,0.1,110560,52906608,12442,30632,43074,19305
113232,58449,2422,0.00108175,0.001,7159389,141572,235,52667,52902,1064
39444,28482,26594,0.00082282,0.01,924394,7574726,5151,47891,53042,21257
77825,66549,980,0.00019487,0.0005,1009268,32633,93,2618,2711,64
85537,5717,7144,0.00182521,0.15,892647,6127718,187,15675,15862,54706
12511,9534,218,0.00370564,0.2,442072,417278,28,228,256,350
86687,25403,9798,2.48e-05,0.13,54680,32359874,1723,21287,23010,5856
81121,82025,5464,0.00163948,0.03,10909093,13447778,6836,123538,130374,67167
62363,8131,27588,1.65e-05,0.27,8372,60570258,1804,33456,35260,5195
