lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
52745,5375,31446,0.00056263,0.17,159512,28734323,1746,26948,64744,624,48752
32293,98352,2386,0.00031941,0.13,1014481,30511506,7476,6072,10224,7133,10125
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,31808,537,13699
13896,71346,2717,0.00163948,0.01,1625493,1938554,1614,7250,2506,1686,25931
118294,20939,4039,0.00034241,0.2,848149,16915945,384,13606,44205,1115,32690
4962,7533,42916,0.00860544,0.2,321745,64663565,2424,49235,49579,665,76678
24229,6527,12155,0.00952101,0.25,1505806,19835018,802,28941,48706,178,97842
9228,41512,10673,0.01084252,0.0005,4153628,221537,2507,57794,1130,2649,235918
70079,93697,14418,0.00034241,0.01,2248370,13509704,8736,71149,29144,8015,210460
85898,58075,6445,0.00370564,0.17,18485798,63637118,4473,301012,270961,769,702813
11245,56010,8073,0.00019487,0.13,122741,58786002,13536,7276,7970,13034,12019
98856,45121,5051,0.00019487,0.005,869233,1139748,1542,14000,1528,1649,36999
27910,43453,14795,0.00015297,0.001,185525,642913,3301,16259,170,3420,29701
40246,38936,16160,0.00082282,0.001,1289418,629221,3346,36493,1420,3379,126220
104203,28402,35,0.00001651,0.2,48863,202743,19,136,51,11,55
138185,32186,7066,0.00491597,0.23,21865146,52309993,1659,529157,451442,1187,1124554
135291,86397,9008,0.00163948,0.0005,19163682,389151,6474,611157,5372,6165,1273477
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,185512,658,1137366
110965,24997,1764,0.00000434,0.13,12038,5734082,432,3507,284,161,3787
6760,16828,42470,0.00000464,0.005,527,3573663,3834,6485,48,3900,8352
12507,13096,14887,0.02533638,0.001,4150124,194980,1537,78700,2429,1890,324515
99329,63754,3157,0.00031941,0.15,2022723,30194512,7386,14775,47175,487,46165
53731,98003,16547,0.00000464,0.0005,24433,810839,7541,20671,39,7563,27344
126359,94113,1349,0.00031941,0.13,3798479,16514541,1245,16151,32680,542,38709
64180,3726,23916,0.00296184,0.13,708381,11586162,338,36337,116156,218,103831
113464,39310,12161,0.00491597,0.1,21926787,47808862,3216,789097,416693,2397,1754542
52836,68274,4864,0.00952101,0.001,34345805,332133,7714,263691,9288,7853,877427
17509,3204,3643,0.00034241,0.001,19214,11677,67,537,18,19,808
95026,2982,1654,0.00015297,0.1,43359,493373,31,1917,503,23,2529
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,37877,1048,71788
38879,64726,18126,0.00031941,0.005,803800,5866271,6166,39364,7997,6108,103892
112745,10219,10675,0.00015297,0.1,176246,10908998,408,15655,16460,529,27719
96812,59640,213,0.00160539,0.27,9269477,3436330,59,5183,7111,41,12669
29182,65479,169,0.00018467,0.23,352879,2553954,130,316,575,36,578
141685,11046,7196,0.00041097,0.15,643231,11925181,866,19300,53239,168,42764
77620,23824,7966,0.00018467,0.03,341503,5693951,2249,12598,7924,305,25997
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,4839,1320,4686
23575,8948,27730,0.00370564,0.27,781716,66996953,2168,60451,107823,523,120840
145954,79232,6174,0.00019487,0.0005,2253530,244597,2720,45607,508,2777,119568
140966,54271,5749,0.00002088,0.13,159741,40567960,9334,23356,20061,608,25551
74761,21183,28656,0.00082487,0.001,1306334,607026,3271,72947,2201,3244,234159
53554,40303,24466,0.00034241,0.03,739075,29582358,9713,50785,44166,8694,132058
114156,7995,9008,0.00013363,0.3,121974,21609624,779,16041,26740,166,21667
116075,22610,9987,0.01084252,0.27,28456074,60971279,1888,826964,857444,1181,1882301
32906,3914,31697,0.00008429,0.2,10858,24816783,1204,16498,5068,316,17386
30243,71308,6127,0.00008429,0.03,181781,13108272,4139,8473,2641,4285,13721
137955,35382,14524,0.00078778,0.1,3845302,51389721,13160,199134,276094,2595,437749
145078,127,8761,0.00018467,0.3,3427,336216,23,7590,480,14,6892
130389,74520,2007,0.00001651,0.2,160423,29926512,1439,12886,5409,772,11857
97811,10889,956,0.00056263,0.1,599255,1041432,52,2418,3848,33,5221
81359,68007,17325,0.00078778,0.05,4358862,58912212,17417,171468,205045,5646,483893
98260,16174,8581,0.00491597,0.13,7813044,18043845,1286,172995,165157,474,420081
15559,17880,12488,0.00015297,0.17,42558,37963300,8604,4286,6444,1162,18020
79899,65785,1918,0.00000434,0.15,22811,18930401,1174,1856,731,658,7157
123371,30844,8668,0.00160539,0.13,6109075,34757461,9252,173106,198590,1356,377116
27298,79766,4489,0.00163948,0.01,3569962,3581339,3058,25667,11252,2797,89637
141553,4492,5300,0.00047003,0.23,298938,5477088,138,9590,26853,63,18896
43406,84702,12184,0.00000434,0.0005,15956,516048,4955,12191,27,4971,16506
5226,6183,36112,0.00296184,0.2,95718,44659764,1814,6759,19148,9792,22029
106799,17837,15074,0.00952101,0.2,18137811,53778313,2055,720904,555376,1383,1730856
62487,15689,2816,0.00015297,0.001,149973,44183,74,3197,40,59,5442
97393,27304,10877,0.00041097,0.03,1092894,8909871,3068,32523,29861,1418,90149
14070,53083,14692,0.02533638,0.01,18924549,7799590,8489,376718,35437,7876,1439452
47748,2131,15014,0.00160539,0.23,163390,7360783,121,9706,35097,80,20323
88232,60784,23716,0.00182521,0.001,9788985,1441623,7821,526233,17520,7752,1410079
55616,97816,14386,0.00018467,0.0005,1004648,703592,6731,42937,601,6789,108013
58590,32693,7041,0.00108175,0.13,2072146,29926629,1632,34854,57292,1112,82174
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,76994,5176,217923
18799,86901,22898,0.00000434,0.005,7090,9949580,10411,16588,150,10271,22727
41419,97471,3562,0.00019487,0.005,786729,1736387,2062,10195,1303,2098,20840
84201,22342,9230,0.01084252,0.2,20397716,41245006,1550,391455,385863,1077,1042581
103964,33586,6028,0.00002483,0.001,86701,202472,1365,9369,56,1389,11398
34352,245,11819,0.00163948,0.13,13802,376553,29,3586,1127,19,4919
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,24041,9962,200444
137868,35115,1739,0.00082487,0.001,3993458,61089,123,24354,405,139,54252
49865,41784,1999,0.00082282,0.27,1714412,22559740,369,5841,16648,449,24767
32149,36429,16534,0.00002088,0.1,24454,60236341,13952,30421,3922,13230,13334
77232,67089,4255,0.00860544,0.13,44588813,37115150,1804,341898,233931,1462,1014439
17879,47963,1195,0.00002088,0.25,17906,14334379,599,500,514,206,1101
39010,9078,33934,0.00370564,0.15,1312402,46212117,10630,79431,189461,1583,241991
110072,20278,11682,0.00860544,0.2,19208585,47382558,1792,621006,444126,1227,1419988
19960,36306,3291,0.00002483,0.25,17994,29876696,1294,1287,1310,631,1962
6144,88356,3278,0.00296184,0.001,1607930,289667,1856,9275,350,1879,30934
61224,69978,3032,0.00000464,0.15,19879,31834352,7172,2546,1011,7591,3989
134628,16078,10012,0.00000464,0.07,10043,11268504,1401,13782,609,740,14471
59585,74754,16187,0.00015297,0.005,681372,6050546,6621,38369,4312,6273,88303
59470,41601,16892,0.00041097,0.01,1016753,7027616,4463,38478,14283,4567,111859
53330,12759,6736,0.00000464,0.25,3157,21489121,935,10505,529,5463,2063
73733,72452,704,0.00047003,0.3,2511000,15312633,536,3234,9113,158,11516
75727,10143,12986,0.00000464,0.17,3564,22392636,1295,14729,694,5488,11729
71289,54592,8506,0.00056263,0.001,2189660,464410,2615,34550,1186,2713,112896
43133,62942,2652,0.00047003,0.13,1276096,21701382,1546,6466,19887,684,20810
83377,64028,11307,0.00041097,0.03,2194003,21720017,7553,59569,66023,3398,170219
36458,44661,39969,0.00952101,0.005,15503072,8925613,12333,934983,138056,7175,3176011
48803,4118,39748,0.00047003,0.15,94477,24556103,1508,28241,45468,588,43682
121081,7349,7864,0.00001651,0.15,14691,8669258,238,8757,1215,198,10663
141588,21428,3550,0.00018467,0.1,560287,7608172,289,9834,17138,476,21584
31615,29284,40933,0.00001651,0.03,15285,35961244,12094,33519,1684,11805,41418
74208,8693,2301,0.00013363,0.25,86208,5002743,131,2787,3275,56,3945
63548,45979,19191,0.00056263,0.05,1643964,44120881,12343,72080,117006,4252,202891
11443,19524,17610,0.00000434,0.15,969,51575427,11497,2119,438,12853,2958
26703,74691,22749,0.00008429,0.01,168118,16992017,10468,38779,3553,10506,56702
63747,46730,22053,0.00082185,0.005,2448262,5152867,5745,94304,19598,5958,311427
131722,73298,2970,0.00034241,0.07,3305963,15243092,4547,35055,44417,1085,78642
33185,86416,16935,0.00952101,0.001,27304208,1463532,10852,680854,24813,10188,2369563
69175,16274,14814,0.00047003,0.05,529169,12055484,3568,22310,29210,1188,59227
109228,25348,5275,0.00163948,0.13,4539417,17384897,1224,71297,93938,435,160415
142562,37467,3085,0.00041097,0.15,2195162,17338286,1102,26669,58969,242,54679
147751,75258,10129,0.00031941,0.005,3551712,3811632,4541,128220,14374,4704,294244
32314,2144,8760,0.00296184,0.15,205221,2817707,73,4814,14211,551,12748
139897,49460,2960,0.00182521,0.05,12629356,7321594,1291,142512,70782,466,275669
83826,30839,11021,0.02533638,0.17,65497623,57781073,2672,1372056,1055493,680,3917770
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,162839,96,301817
51603,2206,39592,0.00078778,0.001,89686,87348,402,20827,170,392,39179
6115,16470,8640,0.00018467,0.23,18600,32730337,1512,1735,2552,476,2798
38106,31745,18972,0.00001651,0.07,19972,42160842,10395,26021,2394,10213,31243
142464,94820,844,0.00160539,0.3,21686349,24010189,808,69522,70138,439,138342
1125,44458,38683,0.00108175,0.001,54107,1719825,8003,21981,161,8025,33112
119561,1522,6054,0.01084252,0.17,1973556,1566962,70,27729,71045,34,80668
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,455431,7278,6344489
53559,66856,3035,0.01084252,0.0005,38825420,101458,1211,186126,3125,880,604805
10211,88368,214,0.00008429,0.1,76058,1892083,72,281,152,213,346
81724,58758,3114,0.00002088,0.25,100265,45750072,10620,3911,6319,970,15494
61728,81707,10021,0.00108175,0.0005,5455945,409393,4534,98646,1769,4684,313552
99419,12744,8013,0.00001651,0.13,20919,13277221,883,11494,1801,3393,11147
59148,13274,9381,0.01084252,0.005,8513016,622645,184,132249,26554,345,424570
100118,11748,9226,0.00182521,0.25,2146861,27099502,1219,55592,152398,235,135648
112858,36186,11984,0.00031941,0.13,1304471,56380562,12867,60434,154425,2229,121227
73650,90547,19948,0.00000434,0.0005,28942,903126,8366,28367,45,8386,38334
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,11701,3644,227207
41489,11231,3603,0.00018467,0.2,86056,8094838,149,1824,4161,135,5850
10073,12504,27300,0.00182521,0.005,229900,1706853,2031,13648,1913,2075,40649
56071,15600,7921,0.00002088,0.25,18264,30894864,1371,15650,2809,698,14459
68431,8051,15010,0.00000464,0.2,2556,24172754,1154,15767,742,979,13504
4326,40343,6596,0.00370564,0.13,646812,34596220,1809,7769,6827,1356,25705
96692,82644,2252,0.00034241,0.001,2736248,186165,1401,15852,480,1524,44751
33442,7980,13858,0.00041097,0.23,109680,25436471,1098,14760,25018,362,7927
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,399589,2177,1404512
34597,27656,34667,0.00013363,0.005,127864,4793962,5215,29655,1510,5255,41705
102241,65545,651,0.00163948,0.005,10986842,213625,77,19090,2459,110,49243
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,3822,5168,8869
39260,76247,5278,0.00056263,0.15,1684267,60366717,13619,16575,29867,13389,52737
620,71969,2468,0.00078778,0.27,35173,47966977,1914,1474,956,942,2256
11812,52150,9738,0.00047003,0.0005,289560,253940,2766,10921,100,2741,22470
84252,55455,8994,0.00013363,0.07,624351,34917097,8517,30762,36571,1905,61989
2084,44175,15675,0.00001651,0.1,1520,69247645,16230,2860,596,16974,4504
12867,34984,10890,0.00108175,0.001,486967,380989,2290,11434,372,2276,33968
104484,3891,5277,0.00491597,0.13,1998911,2669932,127,25872,58553,56,70001
50720,6003,36444,0.00108175,0.17,329375,37192673,1617,43212,134107,1147,85870
47679,20880,10732,0.01084252,0.05,10794459,11205034,5452,187032,83706,1121,610004
14048,771,13751,0.00860544,0.15,93233,1590754,51,3281,10364,38,8331
23231,3666,17528,0.01084252,0.15,923543,9640168,267,23470,51971,143,87796
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,69208,692,38575
18840,22569,2896,0.00015297,0.27,65043,17653245,700,1362,3229,401,2246
42661,98275,810,0.00082282,0.3,3449722,23882852,841,4908,11151,435,16124
27768,4900,1340,0.00163948,0.3,223115,1971127,45,625,3443,31,1962
124491,2989,8506,0.00019487,0.25,72515,6356963,105,10439,12515,269,16672
41526,6876,37572,0.00002483,0.17,7090,43921099,9862,21326,3534,1357,30719
31953,67784,1742,0.00002088,0.25,45224,29528343,1165,1522,1767,637,2392
73264,36226,14057,0.00860544,0.05,22839600,25462876,11191,536907,254696,2513,1729985
263,55840,1971,0.01084252,0.25,159363,27516850,1282,2008,1045,6512,2991
23840,35946,9616,0.00001651,0.13,14148,44939769,10353,3528,1738,10308,5537
109787,84007,12567,0.00082185,0.005,7579868,5278713,7366,287485,39415,5645,673062
92892,29227,5911,0.00015297,0.23,415318,39742536,1718,22950,49584,389,23075
12871,12566,48371,0.00078778,0.1,127428,60786423,14210,39145,47300,1546,67548
136773,60533,4472,0.00002088,0.13,172872,35191674,8172,21816,8839,7988,20734
140635,29048,225,0.00018467,0.15,754421,981624,39,591,1955,28,1463
12971,33483,15175,0.00182521,0.13,792721,66058274,15136,19275,27075,14543,69629
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,29292,9044,75373
41815,28148,4767,0.02533638,0.3,29821998,40258047,1381,207516,247776,294,718715
50288,17152,3230,0.00491597,0.0005,4240365,27706,108,22584,299,82,73561
40080,5458,712,0.00163948,0.01,358689,38884,18,550,169,12,1560
115202,59641,6193,0.00160539,0.03,11030405,11082500,5946,212349,97268,1727,466523
50522,8252,10560,0.00296184,0.05,1234850,4357242,260,22221,36522,179,73017
35557,50527,33258,0.02533638,0.005,45519939,8402353,16185,2244357,174933,7344,7688832
73339,16870,16588,0.00182521,0.23,2258237,64363645,2189,84968,226839,1474,212262
9299,41487,5783,0.00078778,0.25,303943,59988259,1928,5219,7832,1267,12612
86521,33964,16898,0.00370564,0.1,10889559,57393292,16040,421135,332223,2879,1059022
30814,33280,2159,0.00047003,0.17,482029,12217087,230,2464,7121,3946,6890
72150,12862,3550,0.00000464,0.23,4305,10504427,239,3982,330,157,4268
77285,72223,1987,0.00019487,0.005,1087729,717820,1202,6632,788,1271,16393
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,3486,10299,5971
26691,23258,14148,0.00041097,0.03,255133,9872247,3389,14114,7660,3250,28946
1217,40364,19338,0.00019487,0.03,9573,23418320,7866,4205,564,8539,6949
44542,10386,46788,0.00370564,0.0005,1714395,242987,2662,116017,1476,2667,434249
98066,41967,4088,0.00082282,0.23,3386379,39465343,1734,48364,79696,641,90221
27393,84002,18932,0.00002088,0.005,48047,7952075,8359,20583,428,8273,31602
116613,13871,7347,0.00082185,0.07,1329414,7134207,285,25648,48013,262,70933
14281,1055,32284,0.00082487,0.13,12428,4428012,243,4682,2938,83,6472
146723,50138,9134,0.00031941,0.13,2349750,59535716,13810,86127,179105,2347,172021
12390,12503,17078,0.00056263,0.15,87166,32030299,1504,17567,12458,1104,18269
103938,21804,1155,0.00034241,0.01,776007,251914,60,3359,665,49,7818
34805,35687,40284,0.00013363,0.005,165982,7188313,7684,41112,2377,7525,59316
87509,9149,13855,0.00013363,0.001,106994,126770,569,13463,89,561,23051
48349,27792,27748,0.00082185,0.07,1104360,53983736,13377,71581,126592,3788,199104
88274,73012,4168,0.00015297,0.2,985914,60871976,13384,10803,41958,13078,32050
15662,83492,1064,0.00000434,0.17,5675,15107145,783,490,189,437,734
146067,6562,7358,0.00002483,0.25,23801,12072634,182,10154,3023,267,11790
77008,1318,3210,0.00047003,0.17,47739,719796,37,2691,1578,24,3808
105587,27508,4739,0.00078778,0.07,2288163,9126957,1237,28367,46523,275,74781
23181,10552,21554,0.00002483,0.15,6073,34118274,7647,12071,1594,1183,13335
81464,7120,25173,0.00491597,0.05,2851458,8961824,1563,128913,175920,628,404195
37237,2766,18137,0.00000434,0.15,447,7527486,162,5446,135,278,5854
125857,42282,11878,0.00108175,0.13,5756540,65294101,15849,242265,279746,2563,490901
128261,9592,15190,0.00034241,0.27,421271,39342141,1546,40058,128722,525,66028
61932,25737,14922,0.00000464,0.17,7396,65291681,14131,30199,2683,1972,27411
25669,4966,8747,0.00082185,0.2,104775,8688468,371,4782,12479,240,9104
102238,46444,5011,0.00108175,0.2,5136538,46554403,1756,82738,110177,1037,169766
40058,38153,33365,0.00108175,0.005,1653316,6365225,6987,88492,19656,6999,315380
22717,23456,9074,0.00078778,0.27,419776,57471245,1782,30435,34994,450,23537
130451,3348,5445,0.00056263,0.27,245799,4923828,99,8656,25765,54,15951
51667,59315,34324,0.00296184,0.01,9077075,20359700,14624,506844,167222,8568,1645889
35930,18510,43427,0.00108175,0.05,719456,40193270,11389,67415,113626,3888,195502
102296,49130,19240,0.00082487,0.001,4145695,945278,4994,204505,5284,4925,532528
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,98574,1143,296070
9004,12905,6957,0.00056263,0.27,65380,24242849,973,1914,5525,487,3998
31259,51760,282,0.00296184,0.27,4792311,3954936,73,2077,3310,105,7191
90705,89705,19766,0.00000464,0.03,37754,53196138,17847,47628,2641,16677,60542
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,230110,6095,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,11456,31389,20828,11109,28563
54120,1817,14319,0.00013363,0.005,13141,130102,52,6493,70,68,8322
80022,60627,9037,0.00019487,0.1,945424,54794058,12765,43397,76519,1842,83184
44171,76085,461,0.00296184,0.3,9954267,10531483,165,7240,11527,189,24159
115292,39086,8221,0.00000434,0.0005,19557,160675,1867,10578,20,1874,12975
96021,4419,4360,0.00002483,0.005,10536,96343,65,3574,29,34,3868
90671,14282,15507,0.00001651,0.2,21380,44297385,9679,19951,5388,1146,23697
5424,40416,9568,0.00000464,0.01,1017,3867241,2454,1638,52,2613,2215
78709,24244,14016,0.00008429,0.05,160849,16991946,4540,21235,13283,4444,35467
7794,78175,13976,0.00000434,0.05,2644,54632305,14652,4599,441,16626,7253
63788,71216,18054,0.00182521,0.03,8291531,38574127,14737,267031,166723,6009,819427
97165,68569,4654,0.00296184,0.15,19733663,47874562,14846,224517,190954,708,555238
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,20373,498,740885
25885,59247,25114,0.00002483,0.001,38081,1488003,6934,21404,99,7089,30391
58210,37778,9183,0.00108175,0.03,2378882,10408478,3607,40075,43297,1641,126355
60030,3236,24864,0.00002088,0.05,4056,4023176,651,11354,517,1479,11214
114059,34686,11559,0.00015297,0.05,605203,20048095,5550,33545,28881,1843,72446
31683,32508,6174,0.00015297,0.17,157556,34122834,7512,4775,9600,1043,9435
72822,57831,14154,0.00031941,0.07,1345182,57301813,24259,62342,104483,4068,143247
2739,78424,15866,0.00018467,0.05,39677,62217421,17247,11033,3192,15765,16014
81059,17385,16092,0.00018467,0.01,260245,2797698,1824,19989,2852,1818,25106
39932,4230,25806,0.00002088,0.25,3527,27292751,1102,17123,1653,241,14277
84935,12015,13964,0.00001651,0.23,16848,38591061,1662,22964,4176,885,18406
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,14390,1321,26794
65858,3776,26687,0.00078778,0.27,195927,27211303,1144,29747,93396,287,47443
38914,15694,4996,0.01084252,0.3,6622177,23528295,839,50011,73489,424,176390
74679,45182,1069,0.00001651,0.17,55707,8211202,162,1265,964,112,3797
72484,1528,26418,0.00002483,0.0005,2751,20196,104,12255,14,102,11188
44704,5811,14677,0.00108175,0.17,281051,14501473,785,12487,43810,193,30158
66823,75696,25692,0.00163948,0.03,8293048,58345779,21442,387678,258484,9004,1175183
74994,27738,25355,0.00082185,0.05,1709621,35165355,10071,92243,148103,3416,269087
17740,2346,16066,0.00000434,0.07,180,2639342,118,2667,48,198,2919
135355,38202,11339,0.00056263,0.07,2909288,30324708,8064,117395,155019,2151,262164
122660,63194,755,0.00018467,0.25,1431465,11930381,270,2875,10862,144,11972
66726,22607,1330,0.00163948,0.13,2473191,3910963,135,7157,13739,169,18964
36799,5092,43610,0.00047003,0.03,88077,6662024,2330,21095,9040,2201,39511
44946,23862,10346,0.00013363,0.05,143321,12345012,3432,12664,5487,3534,18527
129648,25185,11868,0.00082185,0.17,2683583,50813846,12027,114832,232249,1546,243811
142307,8033,2625,0.00163948,0.27,1874270,5695502,93,15165,49099,59,36543
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,9590,158,12643
42091,36470,1526,0.00000464,0.03,7122,1670595,142,1029,64,180,1254
126922,57792,10927,0.00108175,0.005,7934737,3157595,4789,285741,35739,3486,633867
124800,17746,12206,0.00082185,0.15,1820176,32491617,1519,71700,180211,1123,166687
136659,27940,12162,0.00296184,0.15,11309213,50973075,14022,501174,394792,1743,965549
53925,11234,3954,0.00013363,0.1,80954,4442137,434,4350,2257,210,5880
78162,24539,11588,0.00082282,0.13,1578228,36970027,8833,41478,119068,1464,112382
139169,50831,2641,0.00000464,0.001,32824,134287,608,4782,23,601,6073
