lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
30363,73196,24908,0.00047003,0.005,1044622,9116093,2222450148,1823165968,756281604,55400000000000.0,2.35e-06,1777.3752120000001,130096756.0,9520000000000.0,4050000000.0,9695,62144,71839,11843,9466,171142
142072,17946,11968,0.00082487,0.2,2103129,42957373,2549624112,214777728,1700317696,30500000000000.0,0.00016497400000000002,280508.2116,5034000365.0,90300000000000.0,2760000000.0,1502,86842,88344,232804,1134,196380
33148,22849,33330,0.00047003,0.07,356008,53309296,757398652,761557170,1104822840,25200000000000.0,3.289999999999999e-05,36350.99156,830583806.2,19000000000000.0,1520000000.0,13167,45412,58579,62160,2946,98308
13357,3737,49963,0.00041097,0.17,20517,31744729,49915109,186711731,667355791,2490000000000.0,6.99e-05,46624.7456,174236674.3,651000000000.0,237000000.0,1790,14607,16397,16756,758,17526
85283,55401,5954,1.65e-05,0.13,78006,42884765,4724763483,329857554,507774982,28100000000000.0,2.15e-06,1089.837444,60378084.23,3350000000000.0,5050000000.0,9518,22248,31766,5405,9454,10935
9247,4600,6508,0.01084252,0.15,461280,4491926,42536200,29936800,60179476,277000000000.0,0.001626378,97874.57582,450223048.8,2070000000000.0,72500000.0,103,3773,3876,7696,83,16290
55773,16286,14336,0.00041097,0.1,373319,23350367,908319078,233476096,799561728,13000000000000.0,4.1096999999999996e-05,32859.588339999995,535151255.6,8720000000000.0,1140000000.0,5721,19313,25034,39790,1104,46452
96616,42132,9562,0.00952101,0.15,38757311,60433585,4070625312,402866184,923842192,38900000000000.0,0.001428152,1319386.612,55588396748.0,2340000000000000.0,4470000000.0,2744,923861,926605,602109,1037,2243000
124443,1564,13001,0.00860544,0.13,1675223,2644071,194628852,20333564,1617883443,2530000000000.0,0.001118707,1809937.856,2830742807.0,4430000000000.0,215000000.0,94,49398,49492,135082,55,147560
65650,18087,19824,0.00491597,0.05,5837537,17929190,1187411550,358556688,1301445600,23500000000000.0,0.000245799,319893.3763,5785911497.0,105000000000000.0,1550000000.0,6148,198283,204431,176750,1745,630627
