lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
120984,19029,15410,0.00491597,0.17,11317650,49853150,2302204536,293236890,1864363440,35500000000000.0,0.000835715,1558076.3059999999,29648634024.0,564000000000000.0,2600000000.0,2077,558283,560360,493935,1506,1216149
90343,3655,18815,0.00108175,0.2,357278,13757150,330203665,68768825,1699803545,6210000000000.0,0.00021635,367752.49700000003,1344135376.0,4920000000000.0,399000000.0,227,25967,26194,82586,151,54877
28228,11045,15236,0.00041097,0.2,128145,33659647,311778260,168281620,430081808,4750000000000.0,8.219399999999999e-05,35350.14413,390442341.9,4310000000000.0,480000000.0,1709,18305,20014,30814,632,9310
8877,3484,43992,0.00031941,0.3,9881,45990272,30927468,153268128,390516984,1360000000000.0,9.5823e-05,37420.50896,130373053.2,454000000000.0,184000000.0,1824,19359,21183,8109,376,16409
66376,69071,6541,8.43e-05,0.05,386443,22591672,4584656696,451793411,434165416,30000000000000.0,4.21e-06,1829.790146,126385435.2,8730000000000.0,5040000000.0,6237,19948,26185,10451,6069,29629
26689,24945,10348,0.00082282,0.13,547816,33558389,665757105,258130860,276177772,6890000000000.0,0.00010696700000000001,29541.79727,736920132.8,18400000000000.0,924000000.0,7775,10804,18579,33941,539,35540
142708,11407,11904,0.00031941,0.25,519997,33950284,1627870156,135788928,1698796032,19400000000000.0,7.99e-05,135653.1101,1547395027.0,17700000000000.0,1760000000.0,1329,33190,34519,117107,455,64221
47220,24989,19836,0.02533638,0.05,29897665,24784903,1179980580,495681804,936655920,23400000000000.0,0.001266819,1186573.5159999998,29651285589.0,741000000000000.0,1680000000.0,2747,881988,884735,266948,2428,3006991
47798,3110,28586,0.00056263,0.17,83652,15116762,148651780,88902460,1366353628,4250000000000.0,9.559999999999999e-05,130687.7621,406438940.1,1260000000000.0,238000000.0,919,16108,17027,29873,192,28600
113349,51649,8420,0.00296184,0.1,17340073,43493487,5854362501,434884580,954398580,49300000000000.0,0.000296184,282677.589,14600014795.0,754000000000000.0,6290000000.0,13920,447731,461651,276452,2156,966861
95437,99103,2109,0.00296184,0.25,28013575,52252550,9458093011,209008227,201276633,19900000000000.0,0.00074046,149037.2957,14770043113.0,1460000000000000.0,9670000000.0,1746,156278,158024,155610,1094,349853
39684,35674,39856,0.02533638,0.0005,35870059,710931,1415687016,1421822944,1581645504,56400000000000.0,1.27e-05,20036.585759999998,714785160.3,25500000000000.0,2840000000.0,12550,2049867,2062417,44884,10804,7503112
136773,60533,4472,2.09e-05,0.13,172872,35191674,8279280009,270703576,611648856,37000000000000.0,2.71e-06,1660.259655,100500497.7,6080000000000.0,8550000000.0,8172,21816,29988,8839,7988,20734
137955,35382,14524,0.00078778,0.1,3845302,51389721,4881123810,513888168,2003658420,70900000000000.0,7.8778e-05,157844.203,5584843591.0,198000000000000.0,5400000000.0,13160,199134,212294,276094,2595,437749
7929,9555,22561,0.00296184,0.15,224421,32336795,75761595,215570355,178886169,1710000000000.0,0.00044427599999999996,79474.83162000001,759382016.1,7260000000000.0,291000000.0,1514,8424,9938,18920,7350,29925
11974,96365,2108,0.00082185,0.1,948369,20321664,1153874510,203137420,25241192,2430000000000.0,8.2185e-05,2074.447365,199904120.3,19300000000000.0,1360000000.0,4998,5377,10375,4281,5036,13501
8177,95526,12402,0.00041097,0.05,321034,59238666,781116102,1184713452,101411154,9690000000000.0,2.05e-05,2083.847098,199061577.9,19000000000000.0,1970000000.0,16223,22135,38358,10547,17377,38151
80348,24008,14712,2.48e-05,0.13,47897,45919803,1928994784,353205696,1182079776,28400000000000.0,3.23e-06,3815.6353090000002,91605772.5,2200000000000.0,2280000000.0,10382,29203,39585,7599,10193,35508
49255,32636,13889,0.00491597,0.03,7902553,13599335,1607486180,453281404,684102695,22300000000000.0,0.000147479,100890.8498,3292673773.0,107000000000000.0,2060000000.0,6269,178259,184528,93289,2125,577927
49759,2614,21492,0.00082487,0.17,107315,9552833,130070026,56180088,1069420428,2800000000000.0,0.000140228,149962.5808,392002186.3,1030000000000.0,186000000.0,178,13002,13180,26405,1085,25545
13864,64032,10136,0.00018467,0.07,163951,45434242,887739648,649028352,140525504,9000000000000.0,1.29e-05,1816.5591379999998,116317914.7,7450000000000.0,1540000000.0,11029,11387,22416,17626,1162,18828
76873,97636,16492,0.00370564,0.03,27813025,48309209,7505572228,1610212912,1267789516,124000000000000.0,0.00011116899999999999,140939.1463,13760734484.0,1340000000000000.0,9120000000.0,21021,758392,779413,275059,7520,2508700
92784,3657,10555,0.00491597,0.07,1668300,2702430,339311088,38599635,979335120,3580000000000.0,0.00034411800000000003,337006.7449,1232433666.0,4510000000000.0,378000000.0,135,36429,36564,69169,85,110946
106923,44899,8525,0.01084252,0.15,52052697,57416751,4800735777,382763975,911518575,40900000000000.0,0.001626378,1482473.757,66561589214.0,2990000000000000.0,5180000000.0,2638,1184739,1187377,712082,734,2760805
74758,70969,1479,0.00031941,0.15,1694668,15753736,5305500502,104963151,110567082,7850000000000.0,4.79e-05,5297.434749,375953646.7,26700000000000.0,5410000000.0,383,5916,6299,20893,410,17385
64097,29365,29174,0.00182521,0.005,3435449,4283573,1882208405,856694510,1869965878,54900000000000.0,9.13e-06,17065.4021,501125532.7,14700000000000.0,2740000000.0,5038,163267,168305,35713,3573,560004
15559,17880,12488,0.00015297,0.17,42558,37963300,278194920,223285440,194300792,3470000000000.0,2.6000000000000002e-05,5052.772666,90343575.27,1620000000000.0,501000000.0,8604,4286,12890,6444,1162,18020
53559,66856,3035,0.01084252,0.0005,38825420,101458,3580740504,202907960,162551565,10900000000000.0,5.42e-06,881.2342973,58915800.18,3940000000000.0,3780000000.0,1211,186126,187337,3125,880,604805
15945,4543,23783,0.01084252,0.17,785460,18368965,72438135,108046169,379219935,1720000000000.0,0.001843228,698988.954,3175506818.0,14400000000000.0,180000000.0,1081,27496,28577,54377,1350,106741
147394,27458,5779,0.00041097,0.2,1663311,31738071,4047144452,158679782,851789926,23400000000000.0,8.219399999999999e-05,70012.02118,1922390077.0,52800000000000.0,4210000000.0,1715,37904,39619,111812,323,75733
8385,43049,18200,0.00082185,0.07,296682,54846552,360965865,783491800,152607000,6570000000000.0,5.7499999999999995e-05,8779.404407,377944580.3,16300000000000.0,1140000000.0,13438,16980,30418,15383,14137,39547
13856,26984,16641,0.00491597,0.005,1838207,2245358,373890304,449040744,230577696,6220000000000.0,2.46e-05,5667.565181,152933578.8,4130000000000.0,823000000.0,2883,39979,42862,10679,2684,169514
123371,30844,8668,0.00160539,0.13,6109075,34757461,3805255124,267355792,1069379828,33000000000000.0,0.000208701,223180.3187,6883773749.0,212000000000000.0,4070000000.0,9252,173106,182358,198590,1356,377116
7102,52391,13348,0.00082185,0.07,305834,48953765,372080882,699315068,94797496,4970000000000.0,5.7499999999999995e-05,5453.652546,285722310.5,15000000000000.0,1070000000.0,11827,15396,27223,10178,11255,23662
139920,39416,1928,0.00019487,0.2,1074756,15202048,5515086720,75994048,269765760,10600000000000.0,3.8974e-05,10513.85073,414413940.4,16300000000000.0,5590000000.0,248,9523,9771,27114,164,18082
136012,27908,6746,0.00047003,0.3,1784207,56486517,3795822896,188267368,917536952,25600000000000.0,0.000141009,129380.9681,3610764057.0,101000000000000.0,3980000000.0,2421,53072,55493,136643,730,91244
104935,30190,2283,0.00160539,0.2,5085929,13788125,3167987650,68923770,239566605,7230000000000.0,0.000321078,76919.5664,2322201710.0,70100000000000.0,3240000000.0,286,34394,34680,49699,372,78718
17759,43288,7453,0.00860544,0.05,6615729,16133031,768751592,322625464,132357827,5730000000000.0,0.000430272,56949.86694,2465245840.0,107000000000000.0,1090000000.0,5909,65941,71850,25215,5379,259192
86717,41736,3127,0.00078778,0.13,2851196,16971095,3619220712,130508472,271164059,11300000000000.0,0.000102411,27770.290910000003,1159020861.0,48400000000000.0,3750000000.0,1149,25575,26724,44749,294,57095
16002,44523,28106,0.00082185,0.03,585545,37542424,712457046,1251363438,449752212,20000000000000.0,2.47e-05,11088.86566,493709565.9,22000000000000.0,1960000000.0,12521,35088,47609,34778,10824,119048
77302,26516,16055,0.02533638,0.005,51934008,2128684,2049739832,425714380,1241083610,32900000000000.0,0.000126682,157222.8298,4168920554.0,111000000000000.0,2480000000.0,11231,1309572,1320803,156279,1864,1631246
23814,1018,48086,0.00952101,0.13,231013,6369073,24242652,48951548,1145120004,1170000000000.0,0.0012377310000000002,1417350.871,1442863187.0,1470000000000.0,73200000.0,196,21208,21404,71143,109,64140
142586,4318,12859,0.00019487,0.23,119994,12772463,615686348,55525162,1833513374,7920000000000.0,4.48e-05,82178.25277,354845695.5,1530000000000.0,671000000.0,194,18603,18797,24670,729,32506
91142,12972,5935,0.00860544,0.25,10174449,19249592,1182294024,76988820,540927770,7020000000000.0,0.00215136,1163730.367,15095910324.0,196000000000000.0,1260000000.0,430,138703,139133,185823,168,350765
101778,89470,6498,0.00047003,0.1,4280134,58141927,9106077660,581376060,661353444,59200000000000.0,4.7003000000000004e-05,31085.59593,2781228268.0,249000000000000.0,9690000000.0,14797,70135,84932,127198,2877,195293
27298,79766,4489,0.00163948,0.01,3569962,3581339,2177452268,358069574,122540722,9770000000000.0,1.64e-05,2009.0306289999999,160252337.2,12800000000000.0,2540000000.0,3058,25667,28725,11252,2797,89637
116600,39982,10365,2.48e-05,0.13,115757,53874609,4661901200,414413430,1208559000,48300000000000.0,3.23e-06,3901.1075960000003,155974083.9,6240000000000.0,5080000000.0,12414,38206,50620,13211,11856,33881
84940,4229,2206,0.01084252,0.17,3895117,1586119,359211260,9329174,187377640,792000000000.0,0.001843228,345379.7876,1460611122.0,6180000000000.0,369000000.0,47,17821,17868,30711,34,48996
78519,15235,6040,0.00082487,0.17,986777,15644394,1196236965,92019400,474254760,7230000000000.0,0.000140228,66503.74906,1013184617.0,15400000000000.0,1290000000.0,886,15202,16088,56863,223,38015
29019,10514,24642,0.00296184,0.27,903732,69957326,305105766,259085988,715086198,7520000000000.0,0.0007996969999999999,571852.1443,6012453445.0,63200000000000.0,564000000.0,15279,29169,44448,114034,1286,122470
74347,55846,7870,0.00952101,0.01,39531852,4395439,4151982562,439508020,585110890,32700000000000.0,9.520000000000001e-05,55708.46635,3111095012.0,174000000000000.0,4590000000.0,9793,528217,538010,100093,1966,1668677
