lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
120986,60571,3701,0.00015297,0.23,1121006,51573176,7328243006,224173271,447769186,27100000000000.0,3.52e-05,15753.90805,954229964.4,57800000000000.0,7550000000.0,1908,32465,34373,56019,472,34830
145430,80648,3878,0.00031941,0.13,3746282,40663288,11728638640,312752944,563977540,45500000000000.0,4.15e-05,23418.208590000002,1888631686.0,152000000000000.0,12000000000.0,9772,65298,75070,103733,1575,111461
86839,13389,21867,0.01084252,0.03,12607482,8784267,1162687371,292777263,1898908413,25400000000000.0,0.000325276,617668.5734,8269964529.0,111000000000000.0,1460000000.0,5408,588059,593467,253348,1379,1588297
131999,47960,2813,0.00491597,0.13,31122087,17541515,6330672040,134911480,371313187,17800000000000.0,0.000639076,237297.3834,11380782509.0,546000000000000.0,6470000000.0,1307,297009,298316,156862,438,601440
2914,11502,8793,0.00952101,0.07,319125,7080480,33516828,101137086,25622802,295000000000.0,0.0006664710000000001,17076.84678,196417891.7,2260000000000.0,135000000.0,337,4703,5040,3388,2212,16147
82627,55397,7160,0.00491597,0.05,22502235,19832457,4577287919,396642520,591609320,32800000000000.0,0.000245799,145416.6834,8055648013.0,446000000000000.0,4970000000.0,9522,317837,327359,133713,1905,887223
84648,73824,13503,0.00370564,0.001,23157073,996878,6249053952,996845472,1143001944,84400000000000.0,3.71e-06,4235.553724,312685518.1,23100000000000.0,7250000000.0,8110,633444,641554,23818,7798,1783888
32906,3914,31697,8.43e-05,0.2,10858,24816783,128794084,124062058,1043021482,4080000000000.0,1.6858e-05,17583.25614,68820864.55,269000000000.0,253000000.0,1204,16498,17702,5068,316,17386
31675,6269,42255,0.01084252,0.17,2153149,45035833,198570575,264896595,1338427125,8390000000000.0,0.001843228,2467026.8880000003,15465791562.0,97000000000000.0,463000000.0,1920,134080,136000,235241,1389,485021
42429,42459,21720,0.00163948,0.005,2953623,4611198,1801492911,922209480,921557880,39100000000000.0,8.2e-06,7554.378565999999,320751359.5,13600000000000.0,2720000000.0,5602,100520,106122,25055,4768,359834
8481,44708,6048,0.00078778,0.23,298728,62197325,379168548,270393984,51293088,2290000000000.0,0.000181189,9293.763839,415505593.7,18600000000000.0,650000000.0,2114,5911,8025,8077,1404,13311
109458,88928,14145,2.48e-05,0.01,241692,12579474,9733881024,1257886560,1548283410,138000000000000.0,2.48e-07,384.4387707,34187371.0,3040000000000.0,11000000000.0,7616,39850,47466,3036,7988,57506
32231,80720,577,0.00160539,0.3,4176859,13985604,2601686320,46575440,18597287,1500000000000.0,0.000481617,8956.769573,722990439.9,58400000000000.0,2650000000.0,184,3975,4159,6960,194,13110
120984,19029,15410,0.00491597,0.17,11317650,49853150,2302204536,293236890,1864363440,35500000000000.0,0.000835715,1558076.3059999999,29648634024.0,564000000000000.0,2600000000.0,2077,558283,560360,493935,1506,1216149
78999,60750,8504,0.00182521,0.01,8759666,5166703,4799189250,516618000,671807496,40800000000000.0,1.83e-05,12261.8976,744910279.1,45300000000000.0,5320000000.0,4729,139352,144081,50558,2314,419761
4161,12489,19123,0.01084252,0.17,563597,40603716,51966729,238827147,79570803,994000000000.0,0.001843228,146667.1639,1831726210.0,22900000000000.0,291000000.0,1656,14011,15667,18523,9420,59470
29902,28984,38266,0.00108175,0.03,937572,33274410,866679568,1109101744,1144229932,33200000000000.0,3.2500000000000004e-05,37133.121869999995,1076266404.0,31200000000000.0,1980000000.0,11468,70277,81745,76994,5176,217923
60641,8346,26013,0.00860544,0.07,4355582,15198445,506109786,217104498,1577454333,13200000000000.0,0.000602381,950228.2031,7930604583.0,66200000000000.0,723000000.0,4795,180726,185521,204435,1085,612053
62466,4438,32038,0.00108175,0.13,299930,18486882,277224108,142184644,2001285708,8880000000000.0,0.00014062799999999998,281435.8059,1249012107.0,5540000000000.0,419000000.0,1269,33532,34801,84903,289,71225
127324,14202,12459,0.00108175,0.3,1956124,53085074,1808255448,176942718,1586329716,22500000000000.0,0.000324525,514803.6511,7311241453.0,104000000000000.0,1990000000.0,2047,80885,82932,261416,380,182014
114591,3158,7411,0.00034241,0.2,123935,4682145,361878378,23403938,849233901,2680000000000.0,6.8482e-05,58157.23601,183660551.3,580000000000.0,385000000.0,116,8646,8762,13073,118,15212
28436,5810,37630,0.00952101,0.13,1573159,28424557,165213160,218630300,1070046680,6220000000000.0,0.0012377310000000002,1324430.268,7694939859.0,44700000000000.0,384000000.0,6758,80272,87030,154166,1126,310728
51052,10294,38208,0.00082487,0.07,433534,27534437,525529288,393313152,1950594816,20100000000000.0,5.7700000000000007e-05,112629.1002,1159403958.0,11900000000000.0,919000000.0,6706,45112,51818,88880,1913,113017
51691,40676,21979,0.00491597,0.0005,10336477,447028,2102583116,894017804,1136116489,46200000000000.0,2.46e-06,2792.557288,113590060.3,4620000000000.0,3000000000.0,5503,357254,362757,8025,5563,1185490
43224,52105,38250,0.00163948,0.005,3692533,9965391,2252186520,1993016250,1653318000,86100000000000.0,8.2e-06,13552.908969999999,706174322.0,36800000000000.0,4250000000.0,10788,223202,233990,49932,8847,778299
111901,76334,779,0.00056263,0.23,4805928,13678481,8541850934,59464186,87170879,6650000000000.0,0.000129405,11280.33888,861073388.1,65700000000000.0,8600000000.0,368,10459,10827,22076,326,28108
84372,12935,8310,0.00296184,0.3,3232427,32249286,1091351820,107489850,701131320,9070000000000.0,0.0008885519999999999,622991.6366,8058396820.0,104000000000000.0,1200000000.0,1166,58082,59248,149046,320,158336
98800,40382,2182,0.00370564,0.23,14784635,20269144,3989741600,88113524,215581600,8710000000000.0,0.000852297,183739.5941,7419772287.0,300000000000000.0,4080000000.0,355,79983,80338,78570,215,200090
61415,6437,15333,0.00860544,0.25,3402262,24677007,395328355,98698521,941676195,6060000000000.0,0.00215136,2025884.499,13040618519.0,84000000000000.0,494000000.0,983,89064,90047,181503,283,283926
96630,63544,2636,0.00491597,0.15,30185858,25131143,6140256720,167501984,254716680,16200000000000.0,0.0007373960000000001,187826.9336,11935274669.0,759000000000000.0,6310000000.0,1557,222254,223811,135057,394,478976
134040,9258,2760,0.00491597,0.01,6100521,255554,1240942320,25552080,369950400,3430000000000.0,4.92e-05,18186.650680000002,168372012.0,1560000000000.0,1270000000.0,61,57039,57100,12710,315,121570
38606,87918,4883,0.00491597,0.005,16685899,2146730,3394162308,429303594,188513098,16600000000000.0,2.46e-05,4633.623672,407378926.0,35800000000000.0,3820000000.0,5099,129739,134838,20147,5264,432681
84464,33862,3693,0.00041097,0.27,1175461,33766314,2860119968,125052366,311925552,10600000000000.0,0.00011096200000000001,34611.851910000005,1172026529.0,39700000000000.0,2990000000.0,1484,21096,22580,44875,400,29759
